Name,ConflictStatus,Story Count,Description,Notes,Publishable,InternalNotes,Stories,Ethics Doc Lines,Eric,Melania,Junior
Energy Transfer Partners,Unclear,1,"According to financial disclosures filed in May 2016, President Donald Trump owned between $15,000 and $50,000 in stock in Texas-based Energy Transfer Partners. That's down from between $500,000 and $1 million a year earlier.",,Approved,,https://www.bloomberg.com/politics/articles/2016-11-25/trump-s-stock-in-oil-pipeline-company-raises-concern,,,,
Home Depot,Resolved,0,,,Approved,,,"1041,1042,1043,1044",,,
Shore Haven Apt#1,Active,1,,,Approved,,https://www.healthcareitnews.com/news/update-vets-group-sues-trump-administration-end-mar-lago-council-influence-va,212,,,
Hudson Waterfront Associates V,Active,0,,,Approved,,,158,,,
Trump Riverside Management,Active,0,,,Approved,,,510,,,
KF- Rcg Longview Debt Fund IV,Unclear,0,,,Approved,,,1206,,,
Park Briar Associates,Active,0,,,Approved,,,197,,,
Trump Commercial Chicago,Active,0,,,Approved,,,328,,,
Apple,Unclear,1,"Though he tried to start a boycott against Apple AAPL +0.55% in February -- after the iPhone maker refused to help the Federal Bureau of Investigation break into one of the San Bernardino shooters’ phone -- Trump held onto his shares in the tech company, which were worth as much as $2 million in May, according to Trump’s May 2016 Federal Election Commission filing, which provides a range of values for each of his stock holdings.",,Approved,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,,,,
Trump Tower Managing Member,Active,6,,,Approved,,"https://www.bloomberg.com/graphics/2016-trump-40-wall-street/,https://www.theguardian.com/us-news/2018/may/04/trump-qatar-buys-apartment-new-york-tower,http://www.mcclatchydc.com/news/politics-government/white-house/article210477439.html,https://www.forbes.com/trump-tenants/#4fcc6c891d32,https://www.washingtonpost.com/amphtml/politics/as-tariffs-near-trumps-business-empire-includes-china-ties/2018/07/05/9bfd1056-7956-11e8-aeee-4d04c8ac6158_story.html,https://www.washingtonpost.com/politics/at-president-trumps-hotel-in-new-york-revenue-went-up-this-spring--thanks-to-a-visit-from-big-spending-saudis/2018/08/03/58755392-9112-11e8-bcd5-9d911c784c38_story.html?utm_term=.3a97c3f2cf0f",525,,,
OC Partners,Resolved,0,,,Approved,,,"1405,1406",,,
GlaxoSmithKline,Unclear,1,"Despite campaigning on the pledge of “taking on big businesses,” Trump own shares in big pharma companies including Pfizer, Merck, Celgene and GlaxoSmithKline; retailer Walmart, and consumer goods firms Procter & Gamble and Johnson & Johnson. He also hold stakes in a variety of multinational oil companies like Shell, Chevron and Exxon Mobil.",,Approved,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,,,,
NEW YORK ST DORM AUTH ST PERSONAL INCOME TAX REVENUE UNREFUNDED SER A,Unclear,0,,,Approved,,,1356,,,
Commerce Department,Unclear,1,,,Approved,,https://mobile.reuters.com/article/amp/idUSKCN1J12RP,,,,
Bedford Hills,Active,0,,,Approved,,,21,,,
Virginia St Bonds,Resolved,0,,,Approved,,,Unnamed record,,,
Trump Brazil,Active,2,,,Approved,,"https://www.washingtonpost.com/business/economy/a-scramble-to-assess-the-dangers-of-president-elects-global-business-empire/2016/11/20/1bbdc2a2-ad18-11e6-a31b-4b6397e625d0_story.html,https://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html?_r=1",307,,,
THC Rio,Active,1,,,Approved,,https://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html?_r=1,"251,250",,,
Ford Motor Company,Resolved,0,,,Approved,,,"1011,1012",,,
China State Construction Engineering Corp.,Unclear,5,"The Chinese government-owned company was awarded a $19.6 million contract for road and infrastructure work as part of the residential piece of Trump World Golf Club Dubai project called Akoya Oxygen, according to a news release dated Sunday. CSCEC was awarded a $32 million contract to build a six-lane road in early 2017, just as President Donald Trump was inaugurated and it was hired in February to construct one of the buildings at a cost of $163 million.",,Approved,,"https://www.mcclatchydc.com/news/politics-government/white-house/article213164779.html,https://www.damacproperties.com/en/media-centre/press-releases/damac-awards-infrastructure-works-contract-at-akoya-oxygen-to-cscec-as-construction-spend,http://www.mcclatchydc.com/news/politics-government/white-house/article172443417.html,http://www.constructionweekonline.com/article-49557-cscec-lands-19m-damac-contract-for-dubais-akoya-oxygen/,https://www.washingtonpost.com/amphtml/politics/as-tariffs-near-trumps-business-empire-includes-china-ties/2018/07/05/9bfd1056-7956-11e8-aeee-4d04c8ac6158_story.html",,,,
Lamington Farm Club,Active,0,,,Approved,,,170,,,
Chelsea Hall,Active,0,,,Approved,,,29,,,
Yum Brands,Resolved,0,,,Approved,,,"Unnamed record,Unnamed record",,,
